rate_date,currency,rate_to_usd
2020-01-18,POUND,1.954017
2020-01-19,USD,1.644632
2020-01-19,YEN,0.131574
2020-01-19,POUND,1.973557
2020-01-20,USD,1.661078
2020-01-20,YEN,0.13289
2020-01-20,POUND,1.993292
2020-01-21,USD,1.677689
2020-01-21,YEN,0.134219
2020-01-21,POUND,2.013225
2020-01-22,USD,1.694466
2020-01-22,YEN,0.135561
2020-01-22,POUND,2.033357
2020-01-23,USD,1.711411
2020-01-23,YEN,0.136916
2020-01-23,POUND,2.053691
2020-01-08,USD,1.728525
2020-01-08,YEN,0.138285
2020-01-08,POUND,2.074228
2020-01-24,USD,1.74581
2020-01-24,YEN,0.139668
2020-01-24,POUND,2.094971
2020-01-25,USD,1.763268
2020-01-25,YEN,0.141065
2020-01-25,POUND,2.115921
2020-01-26,USD,1.780901
2020-01-26,YEN,0.142476
2020-01-26,POUND,2.13708
2020-01-27,USD,1.79871
2020-01-27,YEN,0.143901
2020-01-27,POUND,2.158451
2020-01-28,USD,1.816697
2020-01-28,YEN,0.14534
2020-01-28,POUND,2.180036
2020-01-29,USD,1.834864
2020-01-29,YEN,0.146794
2020-01-29,POUND,2.201837
